区域,链接,标题,户型,面积,朝向,装修,楼层,楼层类型,总价(万),单价(元/平)
红谷滩区,https://nc.lianjia.com/ershoufang/103129222981.html,博翠好房推荐--刚需三房带装修，喜欢随时可以约业主！,3室2厅,93.89平米,东南,简装,高楼层(共32层),板楼,96.6,"10,289"
红谷滩区,https://nc.lianjia.com/ershoufang/103131535955.html,联泰地铁口  山姆  华润旁  全天阳光降价出售,3室2厅,116.57平米,南 北,毛坯,中楼层(共30层),板塔结合,190,"16,300"
红谷滩区,https://nc.lianjia.com/ershoufang/103138942458.html,双地铁口 精装修，配套齐全，可看江景，小户型总价低,1室1厅,46.73平米,南 北,其他,高楼层(共33层),板塔结合,90,"19,260"
红谷滩区,https://nc.lianjia.com/ershoufang/103137859971.html,采光好 户型通透 生活配套方便,3室2厅,124.52平米,南 北,简装,中楼层(共15层),板楼,170,"13,653"
红谷滩区,https://nc.lianjia.com/ershoufang/103135793026.html,全明格局 中上楼层 日照采光俱佳 位置好 近地铁,3室2厅,94.46平米,南 北,简装,中楼层(共6层),板楼,140,"14,822"
红谷滩区,https://nc.lianjia.com/ershoufang/103130339541.html,通透大三房精装修 楼栋楼层好 视野开阔 采光好,3室2厅,114.45平米,南 北,精装,中楼层(共33层),板楼,90,"7,864"
红谷滩区,https://nc.lianjia.com/ershoufang/103130198152.html,叠加别墅 上下三层 带车位 方便看,4室2厅,152.36平米,南 北,精装,4层,板楼,260,"17,065"
红谷滩区,https://nc.lianjia.com/ershoufang/103138920834.html,前后双阳台 得房率高 毛坯 视线无档,3室2厅,117.02平米,南 北,毛坯,高楼层(共27层),板楼,215,"18,373"
红谷滩区,https://nc.lianjia.com/ershoufang/103139677647.html,好楼层  采光好  地铁口  房东诚心出售,3室2厅,88.91平米,南,精装,高楼层(共32层),暂无数据,113,"12,710"
红谷滩区,https://nc.lianjia.com/ershoufang/103140386988.html,精装地铁口二房 拎包入住 好楼层 总价低,2室2厅,92.09平米,东南,精装,中楼层(共6层),板塔结合,115,"12,488"
红谷滩区,https://nc.lianjia.com/ershoufang/103122241180.html,凤凰花园东区  三房出售 地铁口 诚心出售,3室2厅,101.55平米,南,简装,中楼层(共6层),板楼,79.8,"7,859"
红谷滩区,https://nc.lianjia.com/ershoufang/103140055388.html,精装修  诚心出售    交通便利,3室2厅,95.96平米,南,精装,33层,板楼,73,"7,608"
红谷滩区,https://nc.lianjia.com/ershoufang/103134503092.html,此房户型端正，采光性好，适合居住 小高层,3室2厅,122.46平米,南,简装,高楼层(共11层),板楼,175,"14,291"
红谷滩区,https://nc.lianjia.com/ershoufang/103135676207.html,新旅明樾府南苑  地铁口  近西客站,4室2厅,129.23平米,南,精装,中楼层(共17层),板楼,193,"14,935"
红谷滩区,https://nc.lianjia.com/ershoufang/103139831199.html,九龙湖新力禧园小3房房东诚心出售随时看房,3室2厅,89.81平米,南,精装,高楼层(共34层),塔楼,65,"7,238"
红谷滩区,https://nc.lianjia.com/ershoufang/103136142097.html,新旅明樾府南苑 西客站旁 全新小区 好地段,4室2厅,130.25平米,南,精装,中楼层(共17层),板楼,195,"14,972"
红谷滩区,https://nc.lianjia.com/ershoufang/103136683964.html,理想家园大三房出售，随时看房，诚心出售,3室2厅,145.8平米,南,其他,中楼层(共6层),板楼,115,"7,888"
红谷滩区,https://nc.lianjia.com/ershoufang/103140175231.html,红谷滩万达广场，精装公寓，房东急售,1室1厅,41.25平米,南,精装,高楼层(共29层),板楼,26.8,"6,497"
红谷滩区,https://nc.lianjia.com/ershoufang/103140175231.html,红谷滩万达广场，精装公寓，房东急售,1室1厅,41.25平米,南,精装,高楼层(共29层),板楼,26.8,"6,497"
红谷滩区,https://nc.lianjia.com/ershoufang/103139547904.html,薪上优质好房视野采光位置不错业主置换诚心出售近地铁,3室2厅,97.89平米,南 北,其他,中楼层(共13层),板塔结合,158,"16,141"
红谷滩区,https://nc.lianjia.com/ershoufang/103139582255.html,电梯房 地铁口的房子 带露台业主诚心出手 随时看房,3室2厅,127.53平米,南 北,简装,低楼层(共9层),板楼,118,"9,253"
红谷滩区,https://nc.lianjia.com/ershoufang/103132134127.html,视野开阔板正的户型，房子南北通的房,3室2厅,121.5平米,南 北,精装,中楼层(共16层),板塔结合,230,"18,931"
红谷滩区,https://nc.lianjia.com/ershoufang/103139668411.html,绿地双子塔 江信国际花园 东南北三面采光 保养好,3室2厅,146.17平米,南 北,其他,中楼层(共12层),塔楼,160,"10,947"
红谷滩区,https://nc.lianjia.com/ershoufang/103121138362.html,洋房 南北双阳台 有房本 契税满二 配套全 环境舒畅,4室2厅,124.44平米,东南,毛坯,中楼层(共9层),暂无数据,129,"10,367"
红谷滩区,https://nc.lianjia.com/ershoufang/103140037441.html,三房户型 户型方正 小区环境好 风景宜人,3室2厅,142.43平米,南,其他,中楼层(共32层),板楼,195,"13,691"
红谷滩区,https://nc.lianjia.com/ershoufang/103127073785.html,全明户型 户型方正 花园小区  出门即达地铁,3室2厅,88.84平米,南,精装,高楼层(共34层),塔楼,58,"6,529"
红谷滩区,https://nc.lianjia.com/ershoufang/103124723765.html,三面采光边户型、3+1房，满五唯一，随时过户。,3室2厅,138.84平米,南,简装,低楼层(共18层),板塔结合,189,"13,613"
红谷滩区,https://nc.lianjia.com/ershoufang/103106599007.html,联泰香域尚城，小面积，房屋，出售。,1室1厅,35.18平米,北,简装,高楼层(共19层),塔楼,45,"12,792"
红谷滩区,https://nc.lianjia.com/ershoufang/103131155101.html,一线江景大平层  170万装修 带车位和充电桩  视野开阔,4室2厅,238.52平米,南 北,精装,高楼层(共31层),板楼,460,"19,286"
红谷滩区,https://nc.lianjia.com/ershoufang/103136683964.html,理想家园大三房出售，随时看房，诚心出售,3室2厅,145.8平米,南,其他,中楼层(共6层),板楼,115,"7,888"
红谷滩区,https://nc.lianjia.com/ershoufang/103139831199.html,九龙湖新力禧园小3房房东诚心出售随时看房,3室2厅,89.81平米,南,精装,高楼层(共34层),塔楼,65,"7,238"
红谷滩区,https://nc.lianjia.com/ershoufang/103136142097.html,新旅明樾府南苑 西客站旁 全新小区 好地段,4室2厅,130.25平米,南,精装,中楼层(共17层),板楼,195,"14,972"
红谷滩区,https://nc.lianjia.com/ershoufang/103129674897.html,香逸澜湾低楼层  3房   诚意出售  看房提前联系,3室2厅,112.84平米,南 西南,精装,低楼层(共29层),塔楼,195,"17,282"
红谷滩区,https://nc.lianjia.com/ershoufang/103135172953.html,近地铁口 育新 三居 南北通透 双阳台,3室2厅,112.25平米,南 北,毛坯,32层,板楼,73,"6,504"
红谷滩区,https://nc.lianjia.com/ershoufang/103122970158.html,品质小区， 视野好，楼层好，绿化高，得房率高，采光,2室2厅,90.43平米,南 北,精装,中楼层(共21层),板楼,125,"13,823"
红谷滩区,https://nc.lianjia.com/ershoufang/103122586460.html,桥郡精装通透三房，视野无挡，拎包入住,3室2厅,125.59平米,南,精装,高楼层(共18层),板楼,260,"20,703"
红谷滩区,https://nc.lianjia.com/ershoufang/103114681635.html,赣江旁 万达星城 通透三房 业主诚心出售 随时看房,2室2厅,90.31平米,东南,简装,低楼层(共7层),板塔结合,91,"10,077"
红谷滩区,https://nc.lianjia.com/ershoufang/103122933704.html,赣江边 联泰天禧高档小区 一线江景四房 视野开阔,4室2厅,155.93平米,南 北,毛坯,中楼层(共29层),板楼,370,"23,729"
红谷滩区,https://nc.lianjia.com/ershoufang/103128580063.html,近地铁大厦 双地铁口 小面积3房 随时看 诚意卖,3室2厅,92.13平米,南,简装,低楼层(共31层),板楼,135,"14,654"
红谷滩区,https://nc.lianjia.com/ershoufang/103140302770.html,高层看江中间户，视野宽阔，价格亲民！,3室2厅,97.68平米,南,毛坯,31层,塔楼,55,"5,631"
红谷滩区,https://nc.lianjia.com/ershoufang/103138477435.html,香榭新交付的一栋楼南面视野无挡！全天太阳采光充足,2室2厅,81.22平米,南,精装,中楼层(共26层),板塔结合,129,"15,883"
红谷滩区,https://nc.lianjia.com/ershoufang/103124319375.html,绿化环境好，楼层采光充足，视野好,3室2厅,115.46平米,南,毛坯,28层,塔楼,70,"6,063"
红谷滩区,https://nc.lianjia.com/ershoufang/103123283603.html,全天采光，一线江景视野看江看湖，房东诚心出售,3室2厅,124.55平米,南,毛坯,中楼层(共32层),板楼,140,"11,241"
红谷滩区,https://nc.lianjia.com/ershoufang/103132432722.html,商城世纪村 精装通透3房  业主诚心出售,3室1厅,138.82平米,南,精装,中楼层(共18层),板塔结合,165,"11,886"
红谷滩区,https://nc.lianjia.com/ershoufang/103113536295.html,万达江景小区，采光好。视野好，户型方正,3室2厅,138.02平米,南,毛坯,30层,塔楼,100,"7,246"
红谷滩区,https://nc.lianjia.com/ershoufang/103133247349.html,江边三房  好楼层 视野开阔 配套齐全  户型方正采光好,3室2厅,96.93平米,南 北,毛坯,30层,塔楼,58,"5,984"
红谷滩区,https://nc.lianjia.com/ershoufang/103136849259.html,梧桐壹号精装修通透三房，东端户，视野好,3室2厅,110.66平米,南 北,精装,高楼层(共18层),板楼,225,"20,333"
红谷滩区,https://nc.lianjia.com/ershoufang/103138262134.html,中间楼层 户型方正 采光好 诚心出售,3室2厅,92.92平米,南,其他,高楼层(共32层),板塔结合,90,"9,686"
红谷滩区,https://nc.lianjia.com/ershoufang/103138885807.html,融创望江府，次新小区，此房西端户，精装修未入住,3室2厅,123.27平米,南,其他,中楼层(共33层),平房,123,"9,979"
红谷滩区,https://nc.lianjia.com/ershoufang/103140217401.html,力高御景天城的通透三房南北双阳台出行方便,3室2厅,112.2平米,南,毛坯,低楼层(共31层),板楼,126,"11,230"
红谷滩区,https://nc.lianjia.com/ershoufang/103126714502.html,此房户型通透 格局方正 采光敞亮 出行方便 配套齐全,3室2厅,120.77平米,南 北,简装,中楼层(共7层),板楼,129,"10,682"
红谷滩区,https://nc.lianjia.com/ershoufang/103139261908.html,红角洲 繁华地段 70年小户型 出门南大,1室1厅,47.32平米,南,简装,中楼层(共33层),板楼,47,"9,933"
红谷滩区,https://nc.lianjia.com/ershoufang/103125034577.html,联泰香域尚城 朝南精装 小户型70年产权 民水民电,1室1厅,41.9平米,南,精装,低楼层(共22层),板楼,57,"13,604"
红谷滩区,https://nc.lianjia.com/ershoufang/103132057209.html,联泰香域尚城 朝南 一室一厅 阳光    充足,1室1厅,41.9平米,南,精装,高楼层(共22层),板楼,57,"13,604"
红谷滩区,https://nc.lianjia.com/ershoufang/103127338927.html,南大付小旁 梵顿三期精装三房 东端户 视野开阔,3室2厅,124.8平米,南 北,精装,中楼层(共17层),板楼,180,"14,424"
红谷滩区,https://nc.lianjia.com/ershoufang/103139746542.html,此房满5年，户型方正，三个房间，拎包入住。,3室2厅,96.86平米,南,精装,低楼层(共27层),塔楼,150,"15,487"
红谷滩区,https://nc.lianjia.com/ershoufang/103138156500.html,2018年精装，莱蒙都会南区，楼层好采光好,3室2厅,96.94平米,东南,精装,中楼层(共33层),板楼,251,"25,893"
红谷滩区,https://nc.lianjia.com/ershoufang/103136541694.html,翠苑路地铁口业主诚意出想卖电梯小高层,2室2厅,92.06平米,南 北,简装,中楼层(共11层),塔楼,103,"11,189"
红谷滩区,https://nc.lianjia.com/ershoufang/103136516147.html,高楼层 好视野 采光无挡 价格好 房东诚售,3室2厅,133.11平米,南,毛坯,高楼层(共32层),板楼,125,"9,391"
红谷滩区,https://nc.lianjia.com/ershoufang/103138603117.html,新上 通透两室 可观江景摩天轮 阳光无挡 视野开阔,2室2厅,92.26平米,南 北,精装,中楼层(共17层),板楼,178,"19,294"
红谷滩区,https://nc.lianjia.com/ershoufang/103126120814.html,业主诚心出售看房方便   诚心出售,2室1厅,87.23平米,南,精装,中楼层(共11层),塔楼,132,"15,133"
红谷滩区,https://nc.lianjia.com/ershoufang/103139483515.html,房东诚心 朝南通透 精装保养的很好 地铁学习都在门口,3室2厅,110.97平米,南,精装,中楼层(共26层),板塔结合,179,"16,131"
红谷滩区,https://nc.lianjia.com/ershoufang/103132603582.html,好楼层  好视野  好采光  房东在随时看房,2室2厅,94.28平米,南,简装,中楼层(共32层),板塔结合,99,"10,501"
红谷滩区,https://nc.lianjia.com/ershoufang/103140406212.html,绿地国际博览城二期博翠 3室1厅 南,3室1厅,114.38平米,南,毛坯,中楼层(共32层),板塔结合,120,"10,492"
红谷滩区,https://nc.lianjia.com/ershoufang/103140097623.html,房东自住装修，真洋房，楼栋好，含家具家电，含车位,4室2厅,137.28平米,南,其他,低楼层(共7层),板塔结合,166,"12,093"
红谷滩区,https://nc.lianjia.com/ershoufang/103125168172.html,房位于小区中间 远离马路 比较安静 南昌之星摩天轮旁,2室2厅,104.83平米,南,简装,中楼层(共11层),板塔结合,130,"12,402"
红谷滩区,https://nc.lianjia.com/ershoufang/103132336043.html,地处红角洲区域，出门公交站，步行800米到地铁二号,3室2厅,116.39平米,南,简装,中楼层(共15层),板楼,155,"13,318"
红谷滩区,https://nc.lianjia.com/ershoufang/103136090507.html,华润万象城悦府高档小区，精装修准新房。,3室2厅,124.19平米,南 北,精装,中楼层(共33层),板楼,263,"21,178"
红谷滩区,https://nc.lianjia.com/ershoufang/103125924250.html,红角洲新房，精装修，赣江边，出门就商场,3室2厅,124.28平米,南,精装,高楼层(共31层),暂无数据,237,"19,070"
红谷滩区,https://nc.lianjia.com/ershoufang/103135080003.html,通透三室，高品质精装房，好楼层，视野无挡，自有菜地,3室2厅,118.89平米,南,精装,33层,板楼,116,"9,757"
红谷滩区,https://nc.lianjia.com/ershoufang/103138534544.html,地铁口精装新力物业，楼栋楼层好，开车5min直达西站,3室2厅,89.18平米,南,其他,低楼层(共32层),板塔结合,82,"9,195"
红谷滩区,https://nc.lianjia.com/ershoufang/103130025086.html,学在，装修可领包入住，中间楼层,2室2厅,90.68平米,南,精装,中楼层(共6层),板楼,202,"22,277"
红谷滩区,https://nc.lianjia.com/ershoufang/103140123095.html,锦天府小区 地铁2号线龙岗站口 省妇保旁,3室2厅,91.18平米,南,毛坯,低楼层(共29层),板楼,118,"12,942"
红谷滩区,https://nc.lianjia.com/ershoufang/103139608025.html,双地铁口 复试楼 视野开阔 成熟商圈,3室2厅,147.29平米,南,其他,高楼层(共18层),塔楼,220,"14,937"
红谷滩区,https://nc.lianjia.com/ershoufang/103136570260.html,世纪花园小区中间位置 通透大三房 诚售阳光充足,3室2厅,128.03平米,南,简装,中楼层(共6层),板楼,193,"15,075"
红谷滩区,https://nc.lianjia.com/ershoufang/103132426097.html,南昌二中旁 出门地铁口 房东诚心出售 得房率高免个税,3室2厅,135.37平米,南 北,精装,低楼层(共11层),板楼,205,"15,144"
红谷滩区,https://nc.lianjia.com/ershoufang/103140135623.html,近地铁博雅精装修房东诚心出售视野,2室1厅,78.93平米,南,其他,高楼层(共28层),板楼,72,"9,123"
红谷滩区,https://nc.lianjia.com/ershoufang/103139820345.html,双地铁口 精装修2房 南北通透 无挡视野,2室2厅,96.67平米,南 北,精装,高楼层(共31层),板楼,153.8,"15,910"
红谷滩区,https://nc.lianjia.com/ershoufang/103140477581.html,新出房源 房东诚意出售 一梯一户 品质小区,3室2厅,159.25平米,南,其他,中楼层(共30层),板楼,169,"10,613"
红谷滩区,https://nc.lianjia.com/ershoufang/103135080003.html,通透三室，高品质精装房，好楼层，视野无挡，自有菜地,3室2厅,118.89平米,南,精装,33层,板楼,116,"9,757"
红谷滩区,https://nc.lianjia.com/ershoufang/103138534544.html,地铁口精装新力物业，楼栋楼层好，开车5min直达西站,3室2厅,89.18平米,南,其他,低楼层(共32层),板塔结合,82,"9,195"
红谷滩区,https://nc.lianjia.com/ershoufang/103136652452.html,九龙湖西站旁精装大三房新力物业,3室1厅,116.16平米,南,精装,中楼层(共32层),板塔结合,106,"9,126"
红谷滩区,https://nc.lianjia.com/ershoufang/103139675754.html,诚心出售  交通便利   阳光好,2室2厅,79.69平米,南,毛坯,32层,板楼,52.8,"6,626"
红谷滩区,https://nc.lianjia.com/ershoufang/103136339447.html,丰和新城南苑 此房业主诚意出售，近地铁口,3室2厅,133.68平米,南 北,精装,中楼层(共17层),板楼,139.8,"10,458"
红谷滩区,https://nc.lianjia.com/ershoufang/103131655459.html,通透三房，小区人车分流，业主急售房源,3室2厅,135平米,南,精装,中楼层(共7层),板楼,140,"10,371"
红谷滩区,https://nc.lianjia.com/ershoufang/103138990043.html,联泰桥郡中间楼层全天太阳带车位随时可看,3室2厅,106.84平米,南,简装,中楼层(共16层),板楼,193,"18,065"
红谷滩区,https://nc.lianjia.com/ershoufang/103124514827.html,世纪中央城一期  好房出售，，，，，，，，，,2室2厅,90.81平米,南,精装,低楼层(共33层),板塔结合,135,"14,867"
红谷滩区,https://nc.lianjia.com/ershoufang/103138668785.html,全天阳光 户型方正视野开阔南北通透二居室看房有钥匙,2室2厅,98.68平米,南 北,精装,中楼层(共7层),板楼,140,"14,188"
红谷滩区,https://nc.lianjia.com/ershoufang/103139552866.html,精装修大三房 中间楼层 价格看中可以协商 费用各付,3室2厅,142.61平米,南 北,其他,高楼层(共29层),板楼,195,"13,674"
红谷滩区,https://nc.lianjia.com/ershoufang/103138769639.html,联泰香域尚城 3室2厅 南,3室2厅,132.33平米,南,精装,低楼层(共18层),板楼,208,"15,719"
红谷滩区,https://nc.lianjia.com/ershoufang/103138099475.html,通透性好，户型通透，装修不错，看房提前预约,3室1厅,111.54平米,东 西,简装,中楼层(共11层),板塔结合,118,"10,580"
红谷滩区,https://nc.lianjia.com/ershoufang/103128628523.html,小区中间位置 人车分流 阳光充足 闹中取静,2室1厅,82.49平米,南,精装,高楼层(共18层),板楼,94,"11,396"
红谷滩区,https://nc.lianjia.com/ershoufang/103135764899.html,绿地国际博览城二期博隆 3室2厅 南,3室2厅,93.56平米,南,精装,低楼层(共32层),板楼,104.8,"11,202"
红谷滩区,https://nc.lianjia.com/ershoufang/103138854642.html,联泰香域滨江 通透三房 装修保养佳 拎包入住 采光充足,3室2厅,125.8平米,南,其他,低楼层(共11层),板塔结合,175,"13,911"
红谷滩区,https://nc.lianjia.com/ershoufang/103125610880.html,联泰香域滨江大三房，装修精致保持得很好，拎包入住,3室2厅,141.61平米,南,精装,低楼层(共11层),板塔结合,180,"12,711"
红谷滩区,https://nc.lianjia.com/ershoufang/103128468085.html,南北通透户型，中间楼层，装修保养好，拎包入住,3室2厅,92.6平米,南 北,精装,中楼层(共11层),塔楼,110,"11,880"
红谷滩区,https://nc.lianjia.com/ershoufang/103120439024.html,梵顿公馆 三房出售 南北通透 户型端正,3室2厅,136.93平米,南 北,简装,低楼层(共18层),塔楼,178,"13,000"
红谷滩区,https://nc.lianjia.com/ershoufang/103131822914.html,丰和新城 自住精装三房  中间楼层,3室2厅,116.72平米,南,精装,中楼层(共18层),板楼,113,"9,682"
红谷滩区,https://nc.lianjia.com/ershoufang/103111881416.html,凤凰城 地铁口  精装三房  户型方正  欢迎实地看房,3室2厅,130.24平米,南,精装,中楼层(共7层),板楼,230,"17,660"
红谷滩区,https://nc.lianjia.com/ershoufang/103132742759.html,国博城二期 地铁口 四居室 采光好 随时看房,4室1厅,137.54平米,南,毛坯,低楼层(共11层),板楼,160,"11,633"
红谷滩区,https://nc.lianjia.com/ershoufang/103126084225.html,融创望江府，环境舒适宜居，视野开阔,3室2厅,101.52平米,南,精装,中楼层(共33层),板塔结合,85,"8,373"
红谷滩区,https://nc.lianjia.com/ershoufang/103134513709.html,满五年 户型方正 电梯两房 精装拎包入住,2室2厅,95.67平米,南,精装,中楼层(共11层),板楼,130,"13,589"
红谷滩区,https://nc.lianjia.com/ershoufang/103131329882.html,华润凯旋门户型方正 出入方便 采光充足,3室2厅,88.2平米,南,毛坯,高楼层(共33层),板楼,95,"10,771"
红谷滩区,https://nc.lianjia.com/ershoufang/103134483708.html,梧桐壹号精装两房，全新装修未入住，房东急售,2室2厅,90.14平米,南 北,精装,高楼层(共18层),板楼,148,"16,419"
红谷滩区,https://nc.lianjia.com/ershoufang/103140104133.html,小区中间位置 不靠大马路 两居室 拎包入住,2室2厅,89.6平米,南,精装,高楼层(共18层),板楼,109,"12,166"
红谷滩区,https://nc.lianjia.com/ershoufang/103140243783.html,8栋高标交付楼栋  业主自住软装  专梯专户 新小区,3室2厅,142.7平米,南,精装,低楼层(共28层),暂无数据,228,"15,978"
红谷滩区,https://nc.lianjia.com/ershoufang/103137508263.html,省委集资房 带车位，出门的地铁口,3室2厅,108.88平米,南,精装,中楼层(共33层),板楼,178,"16,349"
红谷滩区,https://nc.lianjia.com/ershoufang/103139884178.html,地处红角洲区域，居家装修优质两房 拎包入住,2室2厅,95.48平米,南,精装,低楼层(共21层),板楼,122,"12,778"
红谷滩区,https://nc.lianjia.com/ershoufang/103140292245.html,前排通透大两房，房东诚心出售，随时可签,2室2厅,103.39平米,南,精装,中楼层(共11层),板塔结合,143,"13,832"
红谷滩区,https://nc.lianjia.com/ershoufang/103140209810.html,地铁大厦旁 全新装修朝南三房 产权清晰 钥匙看房,3室2厅,101.82平米,南,精装,中楼层(共31层),板塔结合,163,"16,009"
红谷滩区,https://nc.lianjia.com/ershoufang/103131040041.html,此房看公园的大三房 楼层好 视野开阔光线充足,3室2厅,137.25平米,南 北,毛坯,低楼层(共34层),塔楼,94,"6,849"
红谷滩区,https://nc.lianjia.com/ershoufang/103131691249.html,精装修2房 近地铁口 出行方便,3室1厅,77.98平米,南,精装,中楼层(共18层),板楼,85,"10,901"
红谷滩区,https://nc.lianjia.com/ershoufang/103126587980.html,单位房，靠地铁，国体，少年宫，带车位,3室2厅,143.3平米,南 北,精装,低楼层(共18层),板楼,220,"15,353"
红谷滩区,https://nc.lianjia.com/ershoufang/103128201269.html,九龙湖2号线龙岗站旁 省公务员精装房带车位和暖气,3室2厅,128.17平米,南,精装,中楼层(共27层),板楼,210,"16,385"
红谷滩区,https://nc.lianjia.com/ershoufang/103139021707.html,地铁口、学府旁，改善大三房，得房率高，视野采光好,3室1厅,142.53平米,南 北,毛坯,中楼层(共16层),板楼,226,"15,857"
红谷滩区,https://nc.lianjia.com/ershoufang/103139329564.html,联泰香域尚城大三房 带车位 诚信出售,3室2厅,128.03平米,南,精装,低楼层(共18层),塔楼,169,"13,201"
红谷滩区,https://nc.lianjia.com/ershoufang/103138216872.html,阳光枫情 2室2厅 南 北,2室2厅,84.47平米,南 北,其他,中楼层(共6层),板楼,76,"8,998"
红谷滩区,https://nc.lianjia.com/ershoufang/103128165464.html,带个车位 近地铁6层电梯洋房 中间楼层 常青法系园林,4室2厅,137.28平米,南,毛坯,中楼层(共6层),板塔结合,160,"11,656"
红谷滩区,https://nc.lianjia.com/ershoufang/103131863648.html,"业主诚心出售,户型通透,出行便利，配套成熟！",3室2厅,131.62平米,南,精装,低楼层(共7层),板楼,175,"13,296"
红谷滩区,https://nc.lianjia.com/ershoufang/103139864980.html,户型好，得房率高 格局好 价格好 全天阳光 视野开阔,3室2厅,118.09平米,南,其他,中楼层(共33层),板楼,206,"17,445"
红谷滩区,https://nc.lianjia.com/ershoufang/103139051493.html,中间楼层，采光视野开阔，小区环境优美，房东诚意出售,2室2厅,84.77平米,南,其他,33层,塔楼,47,"5,545"
红谷滩区,https://nc.lianjia.com/ershoufang/103139532751.html,楼层好，采光好，全天阳光，品牌物业，人车分流,2室2厅,75.94平米,南,精装,中楼层(共18层),板楼,134,"17,646"
红谷滩区,https://nc.lianjia.com/ershoufang/103139888991.html,纯地铁口新力物业大草坪 环境优美 精装修,3室2厅,115.72平米,南,精装,低楼层(共32层),板塔结合,97,"8,383"
红谷滩区,https://nc.lianjia.com/ershoufang/103136529753.html,户型好，通透位置安静，诚心在售,3室2厅,136.51平米,东南,其他,低楼层(共18层),板楼,139,"10,183"
红谷滩区,https://nc.lianjia.com/ershoufang/103140238989.html,近地铁户型通透 小区环境好出门公园,3室1厅,126.44平米,南 北,精装,中楼层(共32层),板楼,135,"10,678"
红谷滩区,https://nc.lianjia.com/ershoufang/103131021170.html,盛世经典带阳台的两房 房东诚心价格随时看房,2室1厅,87.56平米,南 北,精装,高楼层(共33层),板楼,95,"10,850"
红谷滩区,https://nc.lianjia.com/ershoufang/103140076461.html,江景大三房 视野好 采光好 随时看房,3室2厅,125.49平米,南,其他,中楼层(共32层),板塔结合,150,"11,954"
红谷滩区,https://nc.lianjia.com/ershoufang/103132265836.html,近绿地双子塔，近地铁，正规两房，交通便利，配套齐全,2室1厅,112.76平米,南 北,精装,中楼层(共21层),板塔结合,136,"12,062"
红谷滩区,https://nc.lianjia.com/ershoufang/103140118976.html,通透格局户型好视野开阔，全天太阳,3室2厅,109.55平米,南,精装,低楼层(共18层),板楼,200,"18,257"
红谷滩区,https://nc.lianjia.com/ershoufang/103132842693.html,小区口碑好，环境优美，视野开阔，居住舒适,3室2厅,137.94平米,南 北,精装,中楼层(共11层),板塔结合,190,"13,775"
红谷滩区,https://nc.lianjia.com/ershoufang/103135143552.html,房间是半通透型视野开阔采光，精装，房东好说话,1室1厅,36.06平米,南,其他,高楼层(共19层),塔楼,54,"14,976"
红谷滩区,https://nc.lianjia.com/ershoufang/103138911967.html,联泰香域滨江 通透大三房 3个阳台 采光充足 装修好,3室2厅,130.57平米,南,精装,高楼层(共11层),板塔结合,190,"14,552"
红谷滩区,https://nc.lianjia.com/ershoufang/103124422320.html,"万达城，房子满两年，楼层好,视线充足。",2室2厅,86.88平米,南,精装,33层,塔楼,52,"5,986"
